malla_punto_id;CuentaDesnow;anio_hidrologico
22184;2;2000-2001
22184;4;2001-2002
22184;4;2002-2003
22184;2;2003-2004
22184;3;2004-2005
22184;2;2005-2006
22184;2;2006-2007
22184;5;2008-2009
22185;2;2000-2001
22185;3;2001-2002
22185;3;2002-2003
22185;3;2003-2004
22185;3;2004-2005
22185;2;2005-2006
22185;1;2006-2007
22185;2;2008-2009
22186;2;2001-2002
22186;3;2002-2003
22186;1;2003-2004
22186;2;2004-2005
22186;2;2005-2006
22186;1;2006-2007
22186;3;2008-2009
22187;1;2001-2002
22187;1;2002-2003
22187;2;2004-2005
22187;2;2005-2006
22187;1;2006-2007
22187;3;2008-2009
22193;1;2001-2002
22193;2;2002-2003
22193;2;2004-2005
22193;1;2005-2006
22193;2;2006-2007
22193;1;2008-2009
22194;1;2001-2002
22194;2;2002-2003
22194;2;2004-2005
22194;1;2005-2006
22194;2;2006-2007
22195;1;2001-2002
22195;2;2002-2003
22195;2;2004-2005
22195;1;2005-2006
22195;2;2006-2007
22195;1;2008-2009
22196;1;2001-2002
22196;2;2002-2003
22196;2;2004-2005
22196;1;2005-2006
22196;2;2006-2007
22196;1;2008-2009
22197;1;2001-2002
22197;3;2002-2003
22197;2;2004-2005
22197;1;2005-2006
22197;2;2006-2007
22197;1;2008-2009
22198;1;2001-2002
22198;3;2002-2003
22198;2;2004-2005
22198;1;2005-2006
22198;2;2006-2007
22198;1;2008-2009
22199;1;2001-2002
22199;2;2002-2003
22199;2;2004-2005
22199;2;2005-2006
22199;1;2006-2007
22199;1;2008-2009
22200;1;2000-2001
22200;2;2002-2003
22200;2;2004-2005
22200;2;2005-2006
22200;1;2006-2007
22200;1;2008-2009
22201;1;2000-2001
22201;3;2002-2003
22201;3;2004-2005
22201;2;2005-2006
22201;1;2006-2007
22201;1;2008-2009
22320;1;2002-2003
22320;1;2006-2007
22320;1;2008-2009
22321;1;2002-2003
22321;1;2006-2007
22321;1;2008-2009
30630;1;2001-2002
30630;2;2002-2003
30630;1;2003-2004
30630;2;2004-2005
30630;1;2005-2006
30630;1;2006-2007
30630;1;2008-2009
30962;1;2001-2002
30962;2;2002-2003
30962;1;2003-2004
30962;2;2004-2005
30962;1;2005-2006
30962;1;2006-2007
30962;1;2008-2009
