"","sen.slope","sen.slope.pct","p.value","S","varS","miss","tau"
"22184",0,0,0.851626208424399,3,114.333333333333,0,0.0666666666666667
"22185",0,0,0.570176030570527,-7,111.666666666667,0,-0.155555555555556
"22186",0.142857142857143,10.2040816326531,0.456966699101389,9,115.666666666667,0,0.2
"22187",0.25,25,0.129997254351035,17,111.666666666667,0,0.377777777777778
"22193",0,0,0.44352100213957,9,109,0,0.2
"22194",0,0,0.844272692456339,3,103.666666666667,0,0.0666666666666667
"22195",0,0,0.44352100213957,9,109,0,0.2
"22196",0,0,0.44352100213957,9,109,0,0.2
"22197",0,0,0.570176030570527,7,111.666666666667,0,0.155555555555556
"22198",0,0,0.570176030570527,7,111.666666666667,0,0.155555555555556
"22199",0,0,0.565497067988266,7,109,0,0.155555555555556
"22200",0,0,0.701622995693068,5,109,0,0.111111111111111
"22201",0,0,0.849885839159691,3,111.666666666667,0,0.0666666666666667
"22320",0,0,0.254450582646337,11,77,0,0.244444444444444
"22321",0,0,0.254450582646337,11,77,0,0.244444444444444
"30630",0,0,0.694421141321735,5,103.666666666667,0,0.111111111111111
"30962",0,0,0.694421141321735,5,103.666666666667,0,0.111111111111111
"30976",0,0,0.705038264690931,5,111.666666666667,0,0.111111111111111
"30977",0,0,0.449016099060127,9,111.666666666667,0,0.2
"31213",0,0,0.705038264690931,5,111.666666666667,0,0.111111111111111
"31214",0,0,0.44352100213957,9,109,0,0.2
"31215",0,0,0.449016099060127,9,111.666666666667,0,0.2
"31222",0,0,1,-1,103.666666666667,0,-0.0222222222222222
"31223",0,0,0.44352100213957,9,109,0,0.2
"31224",0,0,0.628298637175921,6,106.666666666667,0,0.133333333333333
"31227",0,0,0.701622995693068,5,109,0,0.111111111111111
"31228",0,0,0.701622995693068,5,109,0,0.111111111111111
"31795",0.285714285714286,12.4223602484472,0.410010264651835,10,119.333333333333,0,0.222222222222222
"31796",0.333333333333333,13.8888888888889,0.410010264651835,10,119.333333333333,0,0.222222222222222
"31797",0,0,0.852473997861653,-3,115.666666666667,0,-0.0666666666666667
"31798",0,0,0.682569818833203,5,95.6666666666667,0,0.111111111111111
"31799",0,0,0.777457849859464,4,112.666666666667,0,0.0888888888888889
"31800",0,0,0.449016099060127,9,111.666666666667,0,0.2
"31806",0,0,0.846213110184481,3,106.333333333333,0,0.0666666666666667
"31807",0,0,0.849885839159691,3,111.666666666667,0,0.0666666666666667
"31808",0,0,0.708338986237471,5,114.333333333333,0,0.111111111111111
"31809",0,0,0.509588863923904,8,112.666666666667,0,0.177777777777778
"31810",0,0,0.708338986237471,5,114.333333333333,0,0.111111111111111
"31811",0,0,0.78120732342182,4,116.666666666667,0,0.0888888888888889
"31812",0,0,0.512075045837903,8,114,0,0.177777777777778
"31813",0,0,0.852473997861653,3,115.666666666667,0,0.0666666666666667
"32035",0.333333333333333,10.4166666666667,0.305706861246088,12,115.333333333333,0,0.266666666666667
"32036",0.333333333333333,12.3456790123457,0.275312886521963,13,121,0,0.288888888888889
"32037",0.5,18.5185185185185,0.123778009772749,18,122,0,0.4
"32038",0.4,16.6666666666667,0.169713196655589,16,119.333333333333,0,0.355555555555556
"32039",0,0,1,0,107.333333333333,0,0
"32040",0,0,0.926235636313624,2,116.666666666667,0,0.0444444444444444
"32041",0,0,0.449016099060127,9,111.666666666667,0,0.2
"32047",0.2,16.6666666666667,0.223390631424996,14,114,0,0.311111111111111
"32048",0.125,7.35294117647059,0.51693704426449,8,116.666666666667,0,0.177777777777778
"32049",0.142857142857143,6.80272108843537,0.305706861246088,12,115.333333333333,0,0.266666666666667
"32050",0.25,9.61538461538461,0.319302036482855,12,122,0,0.266666666666667
"32051",0.125,4.80769230769231,0.647161773909684,6,119.333333333333,0,0.133333333333333
"32052",0.25,10.8695652173913,0.363302140886898,11,121,0,0.244444444444444
"32053",0,0,0.705038264690931,5,111.666666666667,0,0.111111111111111
"32054",0,0,0.778729004587343,4,114,0,0.0888888888888889
"32055",0,0,0.560662760176392,7,106.333333333333,0,0.155555555555556
"32526",0.285714285714286,7.5187969924812,0.410010264651835,10,119.333333333333,0,0.222222222222222
"32527",0.5,11.9047619047619,0.177967425968065,16,124,0,0.355555555555556
"32528",0.333333333333333,7.93650793650793,0.228757317251575,14,116.666666666667,0,0.311111111111111
"32529",0.428571428571429,12.987012987013,0.169713196655589,16,119.333333333333,0,0.355555555555556
"32530",0.571428571428571,18.4331797235023,0.0853998772869301,20,122,0,0.444444444444444
"32531",0.4,16,0.119658305873641,18,119.333333333333,0,0.4
"32532",0,0,0.846213110184481,3,106.333333333333,0,0.0666666666666667
"32533",0,0,0.854126875164861,3,118.333333333333,0,0.0666666666666667
"32539",0.2,15.3846153846154,0.111340698755541,18,114,0,0.4
"32540",0.2,15.3846153846154,0.0884975757038526,19,111.666666666667,0,0.422222222222222
"32541",0.2,14.2857142857143,0.301477524890032,12,113.333333333333,0,0.266666666666667
"32542",0.125,5.20833333333333,0.785924033396177,4,122,0,0.0888888888888889
"32543",0.125,3.78787878787879,0.715378453378845,5,120.333333333333,0,0.111111111111111
"32544",0,0,0.710743137890584,5,116.333333333333,0,0.111111111111111
"32545",0,0,0.78120732342182,-4,116.666666666667,0,-0.0888888888888889
"32546",0,0,0.708338986237471,5,114.333333333333,0,0.111111111111111
"32547",0,0,0.560662760176392,7,106.333333333333,0,0.155555555555556
"32548",0.111111111111111,9.25925925925926,0.397885985641902,10,113.333333333333,0,0.222222222222222
"33083",0.666666666666667,11.6959064327485,0.126849294015145,18,124,0,0.4
"33084",0.666666666666667,11.2994350282486,0.173273023819226,16,121.333333333333,0,0.355555555555556
"33085",0.6,10.5263157894737,0.279250945368738,13,123,0,0.288888888888889
"33086",0.5,10.2040816326531,0.410010264651835,10,119.333333333333,0,0.222222222222222
"33087",0.5,11.3636363636364,0.319302036482855,12,122,0,0.266666666666667
"33088",0.4,13.3333333333333,0.0819832619907655,20,119.333333333333,0,0.444444444444444
"33089",0.333333333333333,12.3456790123457,0.269969610114406,13,118.333333333333,0,0.288888888888889
"33090",0.333333333333333,14.4927536231884,0.119658305873641,18,119.333333333333,0,0.4
"33091",0.142857142857143,9.52380952380952,0.51693704426449,8,116.666666666667,0,0.177777777777778
"33096",0.166666666666667,12.8205128205128,0.190430263825524,15,114.333333333333,0,0.333333333333333
"33097",0.25,16.6666666666667,0.115511918062037,18,116.666666666667,0,0.4
"33098",0.166666666666667,10.4166666666667,0.404710464627215,10,116.666666666667,0,0.222222222222222
"33099",0.125,7.35294117647059,0.456966699101389,9,115.666666666667,0,0.2
"33100",0.4,16.6666666666667,0.119658305873641,18,119.333333333333,0,0.4
"33101",0.333333333333333,12.8205128205128,0.275312886521963,13,121,0,0.288888888888889
"33102",0,0,0.854126875164861,3,118.333333333333,0,0.0666666666666667
"33103",0,0,0.629367642926422,6,107.333333333333,0,0.133333333333333
"33104",0.111111111111111,7.93650793650794,0.454354232213272,9,114.333333333333,0,0.2
"33105",0.111111111111111,9.25925925925926,0.397885985641902,10,113.333333333333,0,0.222222222222222
"33106",0.125,12.5,0.185221363264329,15,111.666666666667,0,0.333333333333333
"33492",0.5,8.47457627118644,0.31797617698155,12,121.333333333333,0,0.266666666666667
"33493",0.666666666666667,10.5820105820106,0.0455002638963584,23,121,0,0.511111111111111
"33494",0.666666666666667,10.752688172043,0.144683743210904,17,120.333333333333,0,0.377777777777778
"33495",0.75,11.71875,0.119658305873641,18,119.333333333333,0,0.4
"33496",0.714285714285714,11.5207373271889,0.149113055138156,17,123,0,0.377777777777778
"33497",0.571428571428571,10.0250626566416,0.206827372495671,15,123,0,0.333333333333333
"33498",0.5,10.6382978723404,0.275312886521963,13,121,0,0.288888888888889
"33499",0.5,13.1578947368421,0.201867878536715,15,120.333333333333,0,0.333333333333333
"33500",0.5,18.5185185185185,0.119658305873641,18,119.333333333333,0,0.4
"33501",0.333333333333333,16.6666666666667,0.23402969392116,14,119.333333333333,0,0.311111111111111
"33502",0.125,7.35294117647059,0.456966699101389,9,115.666666666667,0,0.2
"33503",0,0,0.709948365981461,5,115.666666666667,0,0.111111111111111
"33504",0.333333333333333,16.6666666666667,0.169713196655589,16,119.333333333333,0,0.355555555555556
"33505",0.4,18.1818181818182,0.269969610114406,13,118.333333333333,0,0.288888888888889
"33507",0.166666666666667,9.80392156862745,0.190430263825524,15,114.333333333333,0,0.333333333333333
"33508",0.25,13.1578947368421,0.23402969392116,14,119.333333333333,0,0.311111111111111
"33509",0.166666666666667,8.33333333333333,0.228757317251575,14,116.666666666667,0,0.311111111111111
"33510",0.125,6.57894736842105,0.581245550072811,7,118.333333333333,0,0.155555555555556
"33511",0.142857142857143,7.93650793650794,0.462082712762884,9,118.333333333333,0,0.2
"33512",0.25,12.5,0.190430263825524,15,114.333333333333,0,0.333333333333333
"33513",0.166666666666667,7.93650793650793,0.308486899993609,12,116.666666666667,0,0.266666666666667
"33514",0,0,0.643428843563621,6,116.666666666667,0,0.133333333333333
"33515",0.125,10.4166666666667,0.300051673753534,12,112.666666666667,0,0.266666666666667
"33516",0.125,12.5,0.185221363264329,15,111.666666666667,0,0.333333333333333
"33744",0.4,9.09090909090909,0.100820201638402,19,120.333333333333,0,0.422222222222222
"33745",0.5,9.09090909090909,0.100820201638402,19,120.333333333333,0,0.422222222222222
"33746",0.666666666666667,10.2564102564103,0.123778009772749,18,122,0,0.4
"33747",0.571428571428571,9.0702947845805,0.100820201638402,19,120.333333333333,0,0.422222222222222
"33748",0.75,12.5,0.100820201638402,19,120.333333333333,0,0.422222222222222
"33749",0.625,10.2459016393443,0.140211413916641,17,117.666666666667,0,0.377777777777778
"33750",0.6,9.83606557377049,0.237923188633698,14,121.333333333333,0,0.311111111111111
"33751",0.375,6.46551724137931,0.31797617698155,12,121.333333333333,0,0.266666666666667
"33752",0.5,10,0.243034960294523,14,124,0,0.311111111111111
"33753",0.4,10.5263157894737,0.265891153261673,13,116.333333333333,0,0.288888888888889
"33754",0.428571428571429,14.7783251231527,0.0922986209056312,19,114.333333333333,0,0.422222222222222
"33755",0.428571428571429,19.4805194805195,0.203114836343131,15,121,0,0.333333333333333
"33756",0.2,10,0.456966699101389,9,115.666666666667,0,0.2
"33757",0.2,10.5263157894737,0.264517896982635,13,115.666666666667,0,0.288888888888889
"33758",0.4,16,0.198098482133538,15,118.333333333333,0,0.333333333333333
"33759",0.4,15.3846153846154,0.269969610114406,13,118.333333333333,0,0.288888888888889
"33760",0.333333333333333,12.8205128205128,0.363302140886898,11,121,0,0.244444444444444
"33761",0.25,11.3636363636364,0.410010264651835,10,119.333333333333,0,0.222222222222222
"33762",0.25,10.4166666666667,0.119658305873641,18,119.333333333333,0,0.4
"33763",0.25,11.9047619047619,0.0492027891774904,22,114,0,0.488888888888889
"33764",0.333333333333333,13.3333333333333,0.119658305873641,18,119.333333333333,0,0.4
